"STATION","NAME","DATE","TMAX"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-15","111"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-16","111"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-17","102"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-18","106"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-19","110"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-20","108"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-21","106"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-22","100"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-23","94"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-24","92"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-25","99"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-26","101"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-27","101"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-28","100"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-29","103"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-30","102"
"USC00026471","PHANTOM RANCH, AZ US","2007-07-31","100"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-01","91"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-02","99"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-03","99"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-04","104"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-05","104"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-06","100"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-07","104"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-08","104"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-09","105"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-10","102"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-11","103"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-12","102"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-13","103"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-14","104"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-15","102"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-16","103"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-17","106"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-18","105"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-19","105"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-20","109"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-21","109"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-22","109"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-23","108"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-24","109"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-25","108"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-26","96"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-27","89"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-28","102"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-29","106"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-30","106"
"USC00026471","PHANTOM RANCH, AZ US","2007-08-31","105"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-01","108"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-02","106"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-03","105"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-04","105"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-05","103"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-06","102"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-07","102"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-08","104"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-09","102"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-10","99"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-11","103"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-12","104"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-13","105"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-14","101"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-15","101"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-16","98"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-17","96"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-18","95"
"USC00026471","PHANTOM RANCH, AZ US","2007-09-19","95"
